header,title,titleUrl,subtitles,time,products,activityControls,description,details,channel_name
YouTube,ぱんちどらいくどうーまん2話 を視聴しました,https://www.youtube.com/watch?v=z95G5woMo_Y,"[{""name"": ""K"", ""url"": ""https://www.youtube.com/channel/UCTGbg-vP0vLXr6A4fbTdPrg""}]",2026-01-31 21:55:33.224000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,error
YouTube,【神回】バイトやらかし2022【やらかしすぎ注意】 を視聴しました,https://www.youtube.com/watch?v=pSWkhDtZp30,"[{""name"": ""\u4e38\u5c71\u793c\u30c1\u30e3\u30f3\u30cd\u30eb"", ""url"": ""https://www.youtube.com/channel/UC0wwyS5MbDCdbLjbtOt0yew""}]",2026-01-31 20:57:40.893000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,丸山礼チャンネル
YouTube,【バイトやらかし】みんなのやらかしが止まらないので2回目やっちゃいますSP を視聴しました,https://www.youtube.com/watch?v=d7sRBjivaqs,"[{""name"": ""\u4e38\u5c71\u793c\u30c1\u30e3\u30f3\u30cd\u30eb"", ""url"": ""https://www.youtube.com/channel/UC0wwyS5MbDCdbLjbtOt0yew""}]",2026-01-31 20:45:29.880000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,丸山礼チャンネル
YouTube,【神回】みんなのバイトやらかし話が面白すぎて全国民必見だと思う【丸山礼】 を視聴しました,https://www.youtube.com/watch?v=H8rHrGSLSOQ,"[{""name"": ""\u4e38\u5c71\u793c\u30c1\u30e3\u30f3\u30cd\u30eb"", ""url"": ""https://www.youtube.com/channel/UC0wwyS5MbDCdbLjbtOt0yew""}]",2026-01-31 20:30:07.201000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,丸山礼チャンネル
YouTube,【カラオケ】人生いろいろ / 島倉千代子 を視聴しました,https://www.youtube.com/watch?v=CqQCWD2MDT8,"[{""name"": ""\u30ab\u30e9\u30aa\u30b1\u6b4c\u3063\u3061\u3083\u738b"", ""url"": ""https://www.youtube.com/channel/UC1tk9F5-MGXEq4LWnjmrtpA""}]",2026-01-31 20:24:26.885000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,カラオケ歌っちゃ王
YouTube,【おうちカラオケ】津軽海峡・冬景色／石川さゆり【期間限定】 を視聴しました,https://www.youtube.com/watch?v=9-m6j_XOf2I,"[{""name"": ""\u30ab\u30e9\u30aa\u30b1DAM\u516c\u5f0f\u30c1\u30e3\u30f3\u30cd\u30eb"", ""url"": ""https://www.youtube.com/channel/UCCq0LTOLQi6oaeWHylP0qBA""}]",2026-01-31 20:22:01.228000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,カラオケDAM公式チャンネル
YouTube,【カラオケ】襟裳岬/森 進一 を視聴しました,https://www.youtube.com/watch?v=ypS99wRj_aY,"[{""name"": ""\u30ab\u30e9\u30aa\u30b1\u6b4c\u3063\u3061\u3083\u738b"", ""url"": ""https://www.youtube.com/channel/UC1tk9F5-MGXEq4LWnjmrtpA""}]",2026-01-31 20:17:33.946000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,カラオケ歌っちゃ王
YouTube,【カラオケ】空も飛べるはず / スピッツ を視聴しました,https://www.youtube.com/watch?v=MpJ3e-Gqeec,"[{""name"": ""\u30ab\u30e9\u30aa\u30b1\u6b4c\u3063\u3061\u3083\u738b"", ""url"": ""https://www.youtube.com/channel/UC1tk9F5-MGXEq4LWnjmrtpA""}]",2026-01-31 20:15:38.250000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,カラオケ歌っちゃ王
YouTube,"練習用カラオケ♬ 雪の華 - 中島美嘉 【ガイドメロディ付】 インスト, BGM, 歌詞 を視聴しました",https://www.youtube.com/watch?v=bNyhOZttSdQ,"[{""name"": ""EdKara"", ""url"": ""https://www.youtube.com/channel/UCRrNOLvQ1LztDKbXtxvDAEQ""}]",2026-01-31 20:13:23.154000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,EdKara
YouTube,【カラオケ】白い恋人達 / 桑田佳祐 を視聴しました,https://www.youtube.com/watch?v=oUoUEsUwDPE,"[{""name"": ""\u30ab\u30e9\u30aa\u30b1\u6b4c\u3063\u3061\u3083\u738b"", ""url"": ""https://www.youtube.com/channel/UC1tk9F5-MGXEq4LWnjmrtpA""}]",2026-01-31 20:10:43.305000,"[""YouTube""]","[""YouTube \u306e\u518d\u751f\u5c65\u6b74""]",,,カラオケ歌っちゃ王
