date,day,time,duration
1月5日,Mon,19:26,2:00
1月6日,Tue,19:26,1:00
1月7日,Wed,23:30,1:00
1月7日,Wed,23:30,3:47
1月8日,Thu,9:39,4:44
1月8日,Thu,23:52,2:00
1月8日,Thu,23:53,1:20
1月11日,Sun,22:40,2:00
1月12日,Mon,22:40,2:00
1月26日,Mon,18:28,2:00
1月26日,Mon,18:28,2:00
1月26日,Mon,18:28,2:00
1月26日,Mon,18:28,1:23
1月26日,Mon,19:59,0:41
1月26日,Mon,20:59,0:49
1月27日,Tue,8:16,2:09
1月27日,Tue,16:21,2:00
1月27日,Tue,16:21,2:00
1月27日,Tue,16:21,1:04
1月27日,Tue,15:27,3:00
1月28日,Wed,8:42,2:07
1月28日,Wed,23:22,2:00
1月28日,Wed,23:22,2:00
1月29日,Thu,13:46,2:00
1月29日,Thu,13:46,2:00
1月29日,Thu,13:59,4:13
1月29日,Thu,19:18,0:59
1月29日,Thu,20:18,1:19
1月30日,Fri,9:13,6:01
1月30日,Fri,16:09,2:07
1月30日,Fri,18:17,1:15
2月1日,Sun,0:09,1:11
2月1日,Sun,1:21,1:28
2月1日,Sun,2:50,1:00
2月1日,Sun,11:21,0:23
2月1日,Sun,13:55,0:41
2月1日,Sun,15:01,1:48
2月1日,Sun,22:29,1:23
2月2日,Mon,5:02,2:18
2月2日,Mon,15:26,2:12
2月2日,Mon,20:45,2:00
2月2日,Mon,20:45,2:00
2月2日,Mon,20:45,2:00
2月3日,Tue,8:31,2:10
2月3日,Tue,18:24,2:00
2月3日,Tue,18:25,2:00
2月3日,Tue,18:25,2:00
2月3日,Tue,18:26,1:12
2月3日,Tue,19:59,1:26
2月4日,Wed,8:49,1:42
2月5日,Thu,13:59,2:00
2月5日,Thu,13:59,2:00
2月5日,Thu,14:00,2:00
2月5日,Thu,17:59,2:00
2月5日,Thu,18:05,1:50
2月6日,Fri,9:53,3:28
2月6日,Fri,14:21,2:38
2月6日,Fri,17:08,1:12
2月6日,Fri,18:21,1:15
2月7日,Sat,17:29,0:33
2月7日,Sat,19:08,1:30
2月7日,Sat,20:38,2:41
2月7日,Sat,23:20,0:59
2月8日,Sun,8:19,0:20
2月7日,Sat,8:41,0:35
2月8日,Sun,10:46,3:30
2月8日,Sun,21:14,1:35
2月9日,Mon,14:26,2:00
2月9日,Mon,14:26,2:00
2月9日,Mon,14:27,0:51
2月9日,Mon,18:35,2:00
2月9日,Mon,18:35,1:13
2月9日,Mon,19:49,0:22
2月10日,Tue,16:29,2:00
2月10日,Tue,16:29,2:00
2月10日,Tue,16:29,2:00
2月10日,Tue,16:30,0:43
2月10日,Tue,17:13,1:32
2月10日,Tue,18:46,1:36
2月11日,Wed,8:59,1:55
2月11日,Wed,17:22,2:00
2月11日,Wed,17:22,2:00
2月11日,Wed,17:22,1:57
2月11日,Wed,21:05,0:28
2月12日,Thu,9:40,4:00
2月12日,Thu,9:41,2:00
2月12日,Thu,9:41,3:30
2月13日,Fri,9:41,5:33
2月14日,Sat,18:10,1:42
2月14日,Sat,20:45,6:11
2月14日,Sat,20:27,0:45
2月16日,Mon,22:36,2:00
2月17日,Tue,9:48,4:05
2月17日,Tue,21:06,0:30
2月17日,Tue,21:37,1:20
2月18日,Wed,13:01,0:19
2月19日,Thu,17:16,1:50
2月19日,Thu,21:10,2:31
2月21日,Sat,20:20,2:10
2月22日,Sun,13:18,1:43
2月23日,Mon,13:37,2:00
2月23日,Mon,13:37,2:00
2月23日,Mon,13:37,1:49
2月23日,Mon,18:30,2:00
2月23日,Mon,18:30,2:47
2月24日,Tue,8:49,2:07
2月24日,Tue,16:05,2:00
2月24日,Tue,16:05,2:00
2月24日,Tue,16:05,2:00
2月24日,Tue,16:05,3:11
2月24日,Tue,20:45,1:25
2月25日,Wed,9:31,1:16
2月25日,Wed,18:14,2:00
2月25日,Wed,18:14,4:45
2月25日,Wed,21:45,1:45
2月26日,Thu,18:33,2:00
2月26日,Thu,18:33,2:00
2月26日,Thu,18:33,2:00
2月26日,Thu,18:34,2:00
2月26日,Thu,18:34,3:04
2月27日,Fri,9:10,1:05
2月27日,Fri,10:44,2:26
2月27日,Fri,14:48,1:12
2月27日,Fri,16:01,2:07
2月27日,Fri,18:08,1:12
2月27日,Fri,23:49,2:26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
