Country,"Track Identifier","Media type","Date Played",Hours,"Play Duration Milliseconds","End Reason Type","Source Type","Play Count","Skip Count","Ignore For Recommendations","Track Reference","Track Description"
Japan,605689018,AUDIO,20200524,8,420796,PLAYBACK_MANUALLY_PAUSED,ANDROID,2,0,false,605689018,"ONE OK ROCK - 69"
Japan,605689017,AUDIO,20200524,"7, 8",381843,NATURAL_END_OF_TRACK,ANDROID,3,0,false,605689017,"ONE OK ROCK - Deeper Deeper"
Japan,605689015,AUDIO,20200524,7,276366,NATURAL_END_OF_TRACK,ANDROID,1,0,false,605689015,"ONE OK ROCK - All Mine"
Japan,1511079533,AUDIO,20200524,13,255293,NATURAL_END_OF_TRACK,ANDROID,1,0,false,1511079533,"RADWIMPS - Futarigoto"
Japan,1173406693,AUDIO,20200524,11,149705,NATURAL_END_OF_TRACK,ANDROID,1,0,false,1173406693,"ONE OK ROCK - Taking Off"
Japan,953420424,AUDIO,20200524,8,149144,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",ANDROID,1,1,false,953420424,"ONE OK ROCK - Take me to the top"
Japan,526671136,AUDIO,20200524,7,132199,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",ANDROID,1,1,false,526671136,"ONE OK ROCK - Re:make"
Japan,525691941,AUDIO,20200524,7,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",ANDROID,0,1,false,525691941,"ONE OK ROCK - Koi No Aibou Kokoro No Cupido"
Japan,525998431,AUDIO,20200524,7,0,"MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM",ANDROID,0,2,false,525998431,"ONE OK ROCK - Yume Yume"
Japan,1511079533,AUDIO,20200525,9,255293,NATURAL_END_OF_TRACK,ANDROID,1,0,false,1511079533,"RADWIMPS - Futarigoto"
Japan,605689017,AUDIO,20200525,8,216453,NATURAL_END_OF_TRACK,ANDROID,1,0,false,605689017,"ONE OK ROCK - Deeper Deeper"
Japan,1441633607,AUDIO,20200525,11,196841,PLAYBACK_MANUALLY_PAUSED,ANDROID,1,0,false,1441633607,"ONE OK ROCK - Wasted Nights"
Japan,526671133,AUDIO,20200525,4,131225,TRACK_SKIPPED_FORWARDS,ANDROID,1,1,false,526671133,"ONE OK ROCK - C.h.a.o.s.m.y.t.h."
Japan,1511079862,AUDIO,20200525,10,0,TRACK_SKIPPED_FORWARDS,ANDROID,0,1,false,1511079862,"RADWIMPS - Order Made"
Japan,1511078662,AUDIO,20200525,10,0,TRACK_SKIPPED_FORWARDS,ANDROID,0,1,false,1511078662,"RADWIMPS - Manifesto"
Japan,525691950,AUDIO,20200526,10,294581,NATURAL_END_OF_TRACK,ANDROID,1,0,false,525691950,"ONE OK ROCK - My Sweet Baby"
Japan,525691944,AUDIO,20200526,10,232640,NATURAL_END_OF_TRACK,ANDROID,1,0,false,525691944,"ONE OK ROCK - 20 Years Old"
Japan,526033577,AUDIO,20200526,5,222306,PLAYBACK_MANUALLY_PAUSED,ANDROID,1,0,false,526033577,"ONE OK ROCK - Crazy Botch"
Japan,525691943,AUDIO,20200526,10,202824,NATURAL_END_OF_TRACK,ANDROID,1,0,false,525691943,"ONE OK ROCK - Kaimu"
Japan,525998435,AUDIO,20200526,5,202200,NATURAL_END_OF_TRACK,ANDROID,1,0,false,525998435,"ONE OK ROCK - Yokubou Ni Michita Seinendan"
Japan,525691941,AUDIO,20200526,10,173467,NATURAL_END_OF_TRACK,ANDROID,1,0,false,525691941,"ONE OK ROCK - Koi No Aibou Kokoro No Cupido"
Japan,525998434,AUDIO,20200526,5,107589,NATURAL_END_OF_TRACK,ANDROID,1,0,false,525998434,"ONE OK ROCK - Kemuri"
Japan,526022826,AUDIO,20200526,10,60347,NATURAL_END_OF_TRACK,ANDROID,1,0,false,526022826,"ONE OK ROCK - Introduction"
Japan,1215143089,AUDIO,20200527,0,329040,PLAYBACK_MANUALLY_PAUSED,ANDROID,1,0,false,1215143089,"Koresawa - たばこ"
