Country,Track Identifier,Media type,Date Played,Hours,Play Duration Milliseconds,End Reason Type,Source Type,Play Count,Skip Count,Ignore For Recommendations,Track Reference,Track Description,Date Played_parsed
Japan,1804686358,AUDIO,20260101,17,1481863,PLAYBACK_SUSPENDED,IPHONE,3,0,False,1804686358.0,CUTIE STREET - かわいいだけじゃだめですか?,2026-01-01
Japan,1811949264,AUDIO,20260102,5,439955,PLAYBACK_MANUALLY_PAUSED,IPHONE,2,0,False,1811949264.0,SixTONES - JAPONICA STYLE,2026-01-02
Japan,1804686358,AUDIO,20260102,18,72932,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1804686358.0,CUTIE STREET - かわいいだけじゃだめですか?,2026-01-02
Japan,1822249989,AUDIO,20260103,"9, 10, 14",693748,PLAYBACK_MANUALLY_PAUSED,IPHONE,4,1,False,1822249989.0,TENBLANK - Crystalline Echo,2026-01-03
Japan,1811949264,AUDIO,20260103,5,335384,PLAYBACK_MANUALLY_PAUSED,IPHONE,2,0,False,1811949264.0,SixTONES - JAPONICA STYLE,2026-01-03
Japan,1822249999,AUDIO,20260103,14,79890,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1822249999.0,TENBLANK - Glass Heart,2026-01-03
Japan,1822249998,AUDIO,20260103,14,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,1822249998.0,TENBLANK - Forever Eve,2026-01-03
Japan,1829673897,AUDIO,20260104,20,284923,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,False,1829673897.0,SixTONES - 恋のバタリアン,2026-01-04
Japan,1518516329,AUDIO,20260104,20,231330,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1518516329.0,RADWIMPS - Ikijibiki (feat. Taka),2026-01-04
Japan,1631260958,AUDIO,20260104,19,193268,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1631260958.0,ONE OK ROCK - Free Them (feat. Teddy Swims),2026-01-04
Japan,1822249998,AUDIO,20260104,20,147827,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1822249998.0,TENBLANK - Forever Eve,2026-01-04
Japan,1511078226,AUDIO,20260104,20,135687,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1511078226.0,RADWIMPS - Oshakashama,2026-01-04
Japan,1511079533,AUDIO,20260104,20,125669,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1511079533.0,RADWIMPS - Futarigoto,2026-01-04
Japan,1822249989,AUDIO,20260104,20,92284,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1822249989.0,TENBLANK - Crystalline Echo,2026-01-04
Japan,1822249999,AUDIO,20260104,20,85225,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,False,1822249999.0,TENBLANK - Glass Heart,2026-01-04
Japan,1560106178,AUDIO,20260104,20,69467,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1560106178.0,B'z - ultra soul,2026-01-04
Japan,1740331293,AUDIO,20260104,20,65797,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1740331293.0,Sheena Ringo - as a human,2026-01-04
Japan,1838917536,AUDIO,20260104,20,64423,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1838917536.0,ONE OK ROCK - Kagerou,2026-01-04
Japan,1530012615,AUDIO,20260104,20,55558,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1530012615.0,MY FIRST STORY - ハイエナ - From THE FIRST TAKE - Hyena - From THE FIRST TAKE,2026-01-04
Japan,1511080505,AUDIO,20260104,20,50603,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,False,1511080505.0,RADWIMPS - Iindesuka?,2026-01-04
Japan,468971393,AUDIO,20260104,20,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,468971393.0,Maria Kliegel - 無伴奏チェロ組曲 第1番 - プレリュード,2026-01-04
Japan,1741325473,AUDIO,20260104,20,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,1741325473.0,Creepy Nuts - Tarinai Futari,2026-01-04
Japan,1804871727,AUDIO,20260104,20,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1804871727.0,CANDY TUNE - 推し♡好き♡しんどい,2026-01-04
Japan,1143992597,AUDIO,20260104,20,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,1143992597.0,Aimer - カタオモイ,2026-01-04
Japan,1845298778,AUDIO,20260104,20,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,1845298778.0,Mr.Children - REM (Remastering 2022),2026-01-04
Japan,1631261793,AUDIO,20260104,20,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1631261793.0,Yuuri - タイムマシン,2026-01-04
Japan,1838917754,AUDIO,20260104,20,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,1838917754.0,"ONE OK ROCK - A New One for All, All for the New One",2026-01-04
Japan,1436663566,AUDIO,20260104,20,0,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,0,1,False,1436663566.0,Shiki Theatre Company - Friend Like Me (Shiki Theatre Company),2026-01-04
Japan,1535412388,AUDIO,20260105,14,309174,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1535412388.0,SEKAI NO OWARI - silent,2026-01-05
Japan,1811949264,AUDIO,20260105,5,30606,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,False,1811949264.0,SixTONES - JAPONICA STYLE,2026-01-05
Japan,1374928853,AUDIO,20260107,"12, 20",1205142,PLAYBACK_MANUALLY_PAUSED,IPHONE,4,1,False,1374928853.0,Mr.Children - Sign,2026-01-07
Japan,1375049974,AUDIO,20260107,12,649587,TRACK_SKIPPED_FORWARDS,IPHONE,2,2,False,1375049974.0,Mr.Children - Anmarioboetenaiya,2026-01-07
Japan,1648108988,AUDIO,20260107,12,282070,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1648108988.0,OFFICIAL HIGE DANDISM - Subtitle,2026-01-07
Japan,1651797584,AUDIO,20260107,12,281087,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1651797584.0,Yoshio Inoue - A Quiet Night,2026-01-07
Japan,1451567755,AUDIO,20260107,12,240659,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1451567755.0,back number - Kimino Koibitoni Nattara,2026-01-07
Japan,1811935332,AUDIO,20260107,20,229516,MANUALLY_SELECTED_PLAYBACK_OF_A_DIFF_ITEM,IPHONE,1,1,False,1811935332.0,SixTONES - ここに帰ってきて,2026-01-07
Japan,1811936213,AUDIO,20260107,20,225957,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1811936213.0,SixTONES - ふたり,2026-01-07
Japan,1612610856,AUDIO,20260107,12,192593,NATURAL_END_OF_TRACK,IPHONE,1,0,False,1612610856.0,BAK - タイムマシン - Time Machine,2026-01-07
Japan,1733130377,AUDIO,20260107,21,174178,PLAYBACK_MANUALLY_PAUSED,IPHONE,1,0,False,1733130377.0,Fujii Kaze - Michi Teyu Ku (Overflowing),2026-01-07
Japan,1375027166,AUDIO,20260107,12,166429,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1375027166.0,Mr.Children - Not Found,2026-01-07
Japan,1717756894,AUDIO,20260107,12,131079,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1717756894.0,Travis Japan - Okie Dokie!,2026-01-07
Japan,1751409888,AUDIO,20260107,12,129756,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1751409888.0,=LOVE - 絶対アイドル辞めないで,2026-01-07
Japan,468971337,AUDIO,20260107,12,117820,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,468971337.0,Jenő Jandó & Zsuzsa Kollar - 2台のピアノのためのソナタ K.448 - 第1楽章,2026-01-07
Japan,551979972,AUDIO,20260107,12,98297,TRACK_SKIPPED_FORWARDS,IPHONE,1,2,False,551979972.0,ロードオブメジャー - 心絵,2026-01-07
Japan,1203190309,AUDIO,20260107,12,75982,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1203190309.0,Sakura Fujiwara - Haru no Uta,2026-01-07
Japan,1845300168,AUDIO,20260107,12,62748,TRACK_SKIPPED_FORWARDS,IPHONE,1,3,False,1845300168.0,Mr.Children - Brand New Planet (Remastering 2022),2026-01-07
Japan,255343130,AUDIO,20260107,12,52575,TRACK_SKIPPED_FORWARDS,IPHONE,1,2,False,255343130.0,Alicia Keys - If I Ain't Got You,2026-01-07
Japan,1811949264,AUDIO,20260107,"5, 12",41648,TRACK_SKIPPED_FORWARDS,IPHONE,1,1,False,1811949264.0,SixTONES - JAPONICA STYLE,2026-01-07
Japan,1838917873,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1838917873.0,ONE OK ROCK - Crazy Botch,2026-01-07
Japan,1062215248,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1062215248.0,Gen Hoshino - Sakura no Mori,2026-01-07
Japan,1375010173,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1375010173.0,Mr.Children - Machine Gun Wo Buppanase,2026-01-07
Japan,1206699196,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1206699196.0,the dresscodes - マイノリティーの神様,2026-01-07
Japan,1845298779,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1845298779.0,Mr.Children - Marshmallow Day (Remastering 2022),2026-01-07
Japan,1811936091,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1811936091.0,SixTONES - 人人人,2026-01-07
Japan,1811949588,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1811949588.0,"SixTONES - ""Laugh"" In the LIFE",2026-01-07
Japan,1560106178,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1560106178.0,B'z - ultra soul,2026-01-07
Japan,1511078226,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1511078226.0,RADWIMPS - Oshakashama,2026-01-07
Japan,1522872646,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1522872646.0,Yuuri - かごめ(Acoustic ver.),2026-01-07
Japan,1543108829,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1543108829.0,"HIRAIDAI - Starbucks, Me and You",2026-01-07
Japan,1838917767,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1838917767.0,ONE OK ROCK - 20 Years Old,2026-01-07
Japan,1281857553,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1281857553.0,"Leo Ieiri, Sakurako Ohara & Sakura Fujiwara - Koinohajimari",2026-01-07
Japan,1374940058,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374940058.0,Mr.Children - Image,2026-01-07
Japan,1806097216,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1806097216.0,櫻井優衣 & FRUITS ZIPPER - ずるい、かわゆい,2026-01-07
Japan,1374964045,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374964045.0,Mr.Children - Kurumi (Studio Live),2026-01-07
Japan,1436920113,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1436920113.0,Alan Menken - Overture,2026-01-07
Japan,1631114318,AUDIO,20260107,11,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1631114318.0,ONE OK ROCK - Save Yourself (International Version),2026-01-07
Japan,1778613093,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1778613093.0,Hey! Say! JUMP - ネガティブファイター,2026-01-07
Japan,1374987008,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,False,1374987008.0,Mr.Children - Kawaita Kiss,2026-01-07
Japan,1375027173,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1375027173.0,Mr.Children - Everything Is Made From A Dream,2026-01-07
Japan,1374960909,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374960909.0,Mr.Children - Kurumanonakadekakurete Kisswo Shiyou,2026-01-07
Japan,1374987914,AUDIO,20260107,"11, 12",0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,False,1374987914.0,Mr.Children - Drawing,2026-01-07
Japan,1374996524,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374996524.0,Mr.Children - Kurumi,2026-01-07
Japan,1668709815,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1668709815.0,Yuuri - 恋人じゃなくなった日,2026-01-07
Japan,1807963417,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1807963417.0,FRUITS ZIPPER - Going!,2026-01-07
Japan,1774658692,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1774658692.0,Travis Japan - HBD,2026-01-07
Japan,1444990823,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1444990823.0,Gen Hoshino - Pop Virus,2026-01-07
Japan,1339013593,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1339013593.0,Oedo Kuipers & Thomas Borchert - Niemand Liebt Dich so Wie Ich (Live),2026-01-07
Japan,1054525017,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1054525017.0,Electric Light Orchestra - Mr. Blue Sky,2026-01-07
Japan,1374996526,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374996526.0,Mr.Children - Pink Kimyounayume,2026-01-07
Japan,1374924286,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374924286.0,Mr.Children - I'll Be,2026-01-07
Japan,1811949863,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1811949863.0,SixTONES - RAM-PAM-PAM,2026-01-07
Japan,1845313614,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1845313614.0,Mr.Children - Lost,2026-01-07
Japan,1751218316,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1751218316.0,Harumi Fuuki - Faded Memories,2026-01-07
Japan,468971387,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,468971387.0,Balázs Szokolay - アラベスク 第1番,2026-01-07
Japan,1339013663,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1339013663.0,Oedo Kuipers & Franziska Schuster - Dich Kennen Heisst Dich Lieben (Reprise) [Live],2026-01-07
Japan,1540220881,AUDIO,20260107,11,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1540220881.0,Christina Aguilera - Reflection (2020),2026-01-07
Japan,1475399556,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1475399556.0,Plue - ラストシーン,2026-01-07
Japan,1807963429,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1807963429.0,FRUITS ZIPPER - CO-個性,2026-01-07
Japan,1375007474,AUDIO,20260107,"11, 12",0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,False,1375007474.0,Mr.Children - Hanabi,2026-01-07
Japan,1440661296,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1440661296.0,Jodi Benson - Part of Your World,2026-01-07
Japan,1537793754,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1537793754.0,Masaki Suda - Niji,2026-01-07
Japan,1375049972,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1375049972.0,Mr.Children - Shirushi,2026-01-07
Japan,1837660179,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1837660179.0,CANDY TUNE - アイしちゃってます♡,2026-01-07
Japan,1374898629,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374898629.0,Mr.Children - Machinofuukei,2026-01-07
Japan,858517200,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,858517200.0,Ed Sheeran - Thinking Out Loud,2026-01-07
Japan,1838917770,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1838917770.0,ONE OK ROCK - Sonzai Shoumei,2026-01-07
Japan,1374928845,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1374928845.0,Mr.Children - Worlds End,2026-01-07
Japan,1787556684,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1787556684.0,Vulfpeck - This Is Not The Song I Wrote (feat. Joey Dosik & Jacob Jeffries),2026-01-07
Japan,1538105361,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1538105361.0,Uru - 奇蹟,2026-01-07
Japan,1845298781,AUDIO,20260107,"11, 12",0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,False,1845298781.0,Mr.Children - End Of The Day (Remastering 2022),2026-01-07
Japan,1845300170,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,1845300170.0,Mr.Children - Documentary Film (Remastering 2022),2026-01-07
Japan,283394008,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,1,False,283394008.0,Seiko Niizuma - 私だけに (「エリザベート」より),2026-01-07
Japan,1711879528,AUDIO,20260107,12,0,TRACK_SKIPPED_FORWARDS,IPHONE,0,2,False,1711879528.0,Wish - Cast - I'm A Star,2026-01-07
